epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3477.62,0.98429,1.16168,1.32904,1.03845,0,0.75058,0.61333,0.67505,0.52576,0.75048,0.61205,0.67274,0.47891,0.90585,1.03072,1.16696,0.97526,0,0.000287161,0.000287161,0.000287161
29,3601.58,0.98194,1.18533,1.3335,1.03463,0,0.62154,0.65355,0.66367,0.51882,0.64817,0.66649,0.67855,0.4732,0.89944,1.02312,1.14578,0.97855,0,0.000283081,0.000283081,0.000283081
30,3725.41,0.97208,1.13121,1.33176,1.03061,0,0.68773,0.60015,0.66334,0.52457,0.72302,0.61664,0.68039,0.47666,0.90345,1.02214,1.12159,0.97323,0,0.000278894,0.000278894,0.000278894
31,3849.65,0.97969,1.13776,1.29483,1.04548,0,0.70642,0.66231,0.69774,0.54073,0.72693,0.67286,0.72207,0.491,0.90485,1.03166,1.16038,0.97977,0,0.000274604,0.000274604,0.000274604
32,3973.85,0.9565,1.11867,1.25822,1.02104,0,0.65985,0.65883,0.68667,0.53123,0.84232,0.56719,0.7116,0.47973,0.89273,1.04123,1.10824,0.96515,0,0.000270215,0.000270215,0.000270215
33,4097.82,0.9664,1.14571,1.28538,1.02951,0,0.67455,0.61544,0.6889,0.54499,0.68703,0.63325,0.69229,0.4923,0.89058,1.02633,1.08861,0.97634,0,0.000265731,0.000265731,0.000265731
34,4222.05,0.96145,1.13168,1.24944,1.02548,0,0.70225,0.64935,0.70815,0.54827,0.76257,0.65407,0.72833,0.50412,0.90877,1.02533,1.11583,0.97233,0,0.000261157,0.000261157,0.000261157
35,4346.03,0.95157,1.11925,1.22141,1.01747,0,0.76067,0.65945,0.7179,0.55276,0.78091,0.66402,0.73822,0.49681,0.89488,1.01324,1.07366,0.96609,0,0.000256496,0.000256496,0.000256496
36,4468.35,0.94104,1.11456,1.25113,1.0171,0,0.71375,0.62053,0.69462,0.54932,0.73145,0.64451,0.70035,0.49555,0.89721,1.02141,1.05388,0.96769,0,0.000251755,0.000251755,0.000251755
37,4591.41,0.95497,1.13689,1.21867,1.0244,0,0.76978,0.60185,0.70394,0.55682,0.73013,0.6633,0.73215,0.50405,0.89535,1.07114,1.04943,0.96878,0,0.000246937,0.000246937,0.000246937
38,4714.53,0.94442,1.11447,1.18994,1.01321,0,0.7108,0.60678,0.70925,0.55299,0.71802,0.60046,0.70815,0.49607,0.89559,1.03328,1.06511,0.98206,0,0.000242048,0.000242048,0.000242048
