epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2784.63,0.84886,1.03507,0.78353,0.93767,0,0.75161,0.78551,0.81827,0.6459,0.73257,0.76941,0.80227,0.56101,0.81783,1.2111,0.72085,0.90335,0,0.000257669,0.000257669,0.000257669
29,2883.92,0.85276,1.03074,0.79421,0.93848,0,0.79583,0.75717,0.81456,0.65399,0.80374,0.74126,0.80529,0.57056,0.81113,1.26095,0.68182,0.90245,0,0.000251755,0.000251755,0.000251755
30,2983.16,0.84899,1.03257,0.78784,0.93954,0,0.7915,0.79532,0.84291,0.67811,0.78612,0.79029,0.836,0.59089,0.79242,1.21302,0.67967,0.89343,0,0.000245722,0.000245722,0.000245722
31,3082.57,0.84281,1.03046,0.78146,0.93188,0,0.77344,0.78635,0.84613,0.67204,0.83636,0.75286,0.84162,0.5823,0.81255,1.14009,0.6593,0.896,0,0.000239578,0.000239578,0.000239578
32,3181.59,0.83664,1.02052,0.75008,0.93313,0,0.83309,0.78552,0.85526,0.68274,0.83096,0.77914,0.85211,0.59388,0.79598,1.09745,0.64053,0.89166,0,0.000233333,0.000233333,0.000233333
33,3280.9,0.83868,1.01147,0.75351,0.93026,0,0.81318,0.83842,0.87041,0.70103,0.87611,0.77215,0.86242,0.60755,0.7843,1.11352,0.64407,0.88688,0,0.000226997,0.000226997,0.000226997
34,3380.31,0.82319,1.0024,0.73245,0.92717,0,0.84118,0.77712,0.85697,0.69205,0.83874,0.77448,0.84664,0.61246,0.7953,1.14727,0.63128,0.89329,0,0.00022058,0.00022058,0.00022058
35,3479.34,0.82514,1.01133,0.72504,0.92855,0,0.88703,0.79701,0.88434,0.70877,0.88611,0.79432,0.87546,0.6158,0.79203,1.26493,0.6499,0.88797,0,0.000214092,0.000214092,0.000214092
36,3578.7,0.80513,0.98075,0.71735,0.92423,0,0.86343,0.81564,0.88328,0.71296,0.86296,0.81407,0.87612,0.61262,0.77688,1.23155,0.63859,0.882,0,0.000207542,0.000207542,0.000207542
37,3678.41,0.81902,0.99768,0.70993,0.92567,0,0.85792,0.83354,0.88755,0.71766,0.85195,0.82699,0.87826,0.62035,0.76497,1.19672,0.61151,0.88068,0,0.00020094,0.00020094,0.00020094
