epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2010.74,0.91533,1.12102,0.98166,0.95266,0,0.82218,0.64409,0.73631,0.57787,0.81925,0.64092,0.73907,0.51038,0.8417,1.26794,0.87953,0.91305,0,0.000152821,0.000152821,0.000152821
29,2082.5,0.92302,1.12751,0.98973,0.95693,0,0.783,0.67298,0.74839,0.59473,0.81392,0.68255,0.75789,0.52253,0.84776,1.24652,0.85415,0.91221,0,0.000142225,0.000142225,0.000142225
30,2153.88,0.91674,1.12153,0.97829,0.95664,0,0.72962,0.70015,0.74494,0.59463,0.7363,0.71379,0.74122,0.51624,0.83859,1.24306,0.8529,0.90923,0,0.000131755,0.000131755,0.000131755
31,2225.62,0.90687,1.10962,0.95937,0.94795,0,0.74379,0.69591,0.75127,0.60155,0.74276,0.69636,0.75018,0.5254,0.84889,1.19063,0.83732,0.90997,0,0.000121453,0.000121453,0.000121453
32,2297.04,0.9008,1.10092,0.93426,0.94905,0,0.81448,0.67465,0.75078,0.60581,0.73155,0.72197,0.75241,0.5315,0.82479,1.19094,0.81729,0.90146,0,0.000111359,0.000111359,0.000111359
33,2368.94,0.90129,1.09802,0.93343,0.94763,0,0.75349,0.71757,0.76363,0.60497,0.74938,0.71294,0.75693,0.5359,0.82819,1.23735,0.79671,0.9009,0,0.000101513,0.000101513,0.000101513
34,2440.92,0.88585,1.08849,0.90987,0.94326,0,0.76831,0.72784,0.77649,0.61603,0.76442,0.72427,0.76985,0.54295,0.81742,1.20033,0.78526,0.90051,0,9.19535e-05,9.19535e-05,9.19535e-05
35,2512.47,0.88634,1.09771,0.90654,0.94474,0,0.85743,0.69896,0.77834,0.62286,0.85627,0.69728,0.77615,0.54667,0.82287,1.24359,0.78616,0.90009,0,8.27192e-05,8.27192e-05,8.27192e-05
36,2583.83,0.87134,1.06853,0.89186,0.9385,0,0.81302,0.69734,0.7781,0.62495,0.8271,0.72126,0.77638,0.55111,0.81138,1.19806,0.77265,0.89333,0,7.3846e-05,7.3846e-05,7.3846e-05
37,2655.4,0.88223,1.08638,0.89238,0.9418,0,0.82598,0.71985,0.77959,0.6208,0.82515,0.71887,0.78797,0.54602,0.80479,1.20523,0.76984,0.89086,0,6.53689e-05,6.53689e-05,6.53689e-05
38,2726.75,0.87066,1.06643,0.8836,0.93947,0,0.86746,0.72752,0.78519,0.62922,0.86696,0.71286,0.78254,0.54919,0.80585,1.16905,0.75013,0.89231,0,5.73215e-05,5.73215e-05,5.73215e-05
39,2798.33,0.86943,1.07209,0.87026,0.93599,0,0.79793,0.75098,0.78642,0.62681,0.81357,0.75898,0.78425,0.54743,0.80297,1.19535,0.74278,0.89339,0,4.97354e-05,4.97354e-05,4.97354e-05
40,2869.75,0.875,1.08074,0.86425,0.94004,0,0.86619,0.67908,0.78742,0.62918,0.88158,0.69575,0.7853,0.5542,0.80308,1.25524,0.74895,0.89147,0,4.26406e-05,4.26406e-05,4.26406e-05
41,2938.81,0.81732,0.98644,0.82799,0.92986,0,0.81608,0.70782,0.77527,0.62011,0.83165,0.7201,0.78444,0.54378,0.8091,1.28098,0.75727,0.89354,0,3.60651e-05,3.60651e-05,3.60651e-05
42,3006.65,0.80467,0.9672,0.80984,0.92834,0,0.8253,0.7165,0.77993,0.62484,0.83757,0.72802,0.77721,0.54496,0.80626,1.19963,0.76155,0.89108,0,3.00349e-05,3.00349e-05,3.00349e-05
43,3075.22,0.79573,0.95531,0.7766,0.9204,0,0.82413,0.70614,0.77968,0.62853,0.84975,0.71422,0.77649,0.55125,0.79943,1.20356,0.73923,0.88731,0,2.45737e-05,2.45737e-05,2.45737e-05
44,3143.65,0.78603,0.94103,0.7674,0.91049,0,0.78121,0.74664,0.78647,0.63278,0.83816,0.71312,0.78204,0.55621,0.80521,1.21702,0.74269,0.88813,0,1.97032e-05,1.97032e-05,1.97032e-05
45,3211.76,0.78312,0.95832,0.76448,0.91877,0,0.77622,0.75921,0.78827,0.63099,0.83395,0.71165,0.78278,0.55191,0.8015,1.20605,0.73667,0.88495,0,1.54424e-05,1.54424e-05,1.54424e-05
46,3280.42,0.78446,0.95681,0.75306,0.91681,0,0.77607,0.75065,0.78824,0.62963,0.80622,0.72626,0.78267,0.55179,0.80459,1.22061,0.73942,0.88691,0,1.18083e-05,1.18083e-05,1.18083e-05
47,3348.52,0.79,0.96411,0.73638,0.91488,0,0.79141,0.72183,0.78681,0.63055,0.8586,0.69401,0.78304,0.55169,0.80094,1.16021,0.73638,0.88515,0,8.81521e-06,8.81521e-06,8.81521e-06
48,3416.87,0.78938,0.93853,0.74634,0.91642,0,0.79502,0.74273,0.7825,0.63025,0.84383,0.70261,0.77662,0.54927,0.79757,1.17235,0.73146,0.88481,0,6.47489e-06,6.47489e-06,6.47489e-06
49,3485.17,0.79164,0.95937,0.76159,0.92048,0,0.80235,0.74154,0.77981,0.62519,0.80968,0.73746,0.77399,0.54624,0.79901,1.16847,0.73091,0.88593,0,4.79661e-06,4.79661e-06,4.79661e-06
50,3553.39,0.78617,0.95123,0.75248,0.91919,0,0.799,0.74135,0.78304,0.62451,0.82021,0.72574,0.7782,0.54725,0.79738,1.16639,0.7327,0.88555,0,3.78699e-06,3.78699e-06,3.78699e-06
